age,education_level,gender,race,number_of_children,number_of_household_members,in_poverty_SPM,in_poverty_OPM,material_hardship,health_problem,in_poverty_SPM_y1,in_poverty_OPM_y1,material_hardship_y1,health_problem_y1,in_poverty_SPM_y2,in_poverty_OPM_y2,material_hardship_y2,health_problem_y2,SPM_top_coded_resources,OPM_top_coded_resources,SPM_top_coded_resources_y1,OPM_top_coded_resources_y1,SPM_top_coded_resources_y2,OPM_top_coded_resources_y2,SPM_income_to_needs,SPM_income_to_needs_y1,SPM_income_to_needs_y2,OPM_income_to_needs,OPM_income_to_needs_y1,OPM_income_to_needs_y2
61,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,160975,259228,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
42,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,1,4,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,94584,140000,397571,490071,90452,134223,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+
58,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,1. Yes,0. No,0,0,0. No,0,,,,,251091,265401,65128,75400,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
21,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,1,3,1. Yes,1,0. No,0. No,,,,,,,,,14250,13535,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
42,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,3,5,0. No,0,0. No,0. No,,,,,,,,,238527,248760,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
68,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,1,1,0. No,0,0,0,0. No,1,60055,70000,0,80,21293,23432,4. 300%+,1,2,4. 300%+,1. Less than 100%,3. 200%-300%
23,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,0,9,1. Yes,1,1. Yes,0. No,,,,,,,,,50255,50180,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
56,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,1,0,0. No,0,236918,400469,339747,550691,0,488666,4. 300%+,4,1,4. 300%+,4. 300%+,4. 300%+
70,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,1,3,0. No,0,1. Yes,0. No,0,0,1. Yes,0,0,0,,0,134090,160000,109659,126168,52656,55124,4. 300%+,4,2,4. 300%+,4. 300%+,3. 200%-300%
77,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,1. Yes,,,,,,,,,37506,32947,,,,,3. 200%-300%,4,4,3. 200%-300%,4. 300%+,4. 300%+
57,2. HS graduate or GED,0. Male,4. Other / MultiRacial,0,2,0. No,0,1. Yes,0. No,,,,,,,,,23960,68000,,,,,2. 100%-200%,4,4,4. 300%+,4. 300%+,4. 300%+
30,2. HS graduate or GED,1. Female,4. Other / MultiRacial,3,5,0. No,0,1. Yes,1. Yes,,,,,,,,,47143,41503,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+
43,1. Less than HS,0. Male,2. Black Non-Hispanic,4,6,1. Yes,0,0. No,0. No,,,,,,,,,33039,34253,,,,,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+
70,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,1,2,1. Yes,1,1. Yes,1. Yes,,,,,0,0,0. No,0,11774,1600,,,49159,40929,1. Less than 100%,4,3,1. Less than 100%,4. 300%+,3. 200%-300%
49,1. Less than HS,1. Female,5. Hispanic,0,3,1. Yes,1,1. Yes,0. No,1,1,1. Yes,0,0,0,0. No,0,16158,16914,4030,5412,28808,38624,1. Less than 100%,1,2,1. Less than 100%,1. Less than 100%,4. 300%+
69,2. HS graduate or GED,1. Female,1. White Non-Hispanic,2,4,0. No,0,1. Yes,0. No,,,,,,,,,156606,156406,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
83,4. Bachelor's degree or more,0. Male,4. Other / MultiRacial,0,2,0. No,0,0. No,1. Yes,0,0,1. Yes,1,0,0,1. Yes,0,116422,155689,133253,125000,388599,488666,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
51,1. Less than HS,1. Female,2. Black Non-Hispanic,1,4,0. No,0,1. Yes,0. No,0,0,1. Yes,0,1,0,1. Yes,0,36162,34513,58607,53800,23855,19200,2. 100%-200%,2,1,2. 100%-200%,3. 200%-300%,2. 100%-200%
30,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,2,4,0. No,0,0. No,0. No,,,,,,,,,48940,34200,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+
42,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,1,3,0. No,0,0. No,0. No,,,,,,,,,210591,392191,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
23,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,1,4,0. No,0,0. No,0. No,0,0,0. No,0,,,,,145318,170088,134380,150527,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
51,4. Bachelor's degree or more,1. Female,5. Hispanic,0,1,1. Yes,1,1. Yes,0. No,0,0,1. Yes,0,0,0,1. Yes,1,0,1500,71195,118251,17994,25318,1. Less than 100%,4,2,1. Less than 100%,4. 300%+,3. 200%-300%
38,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,2,5,0. No,0,0. No,0. No,,,,,,,,,173141,198951,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
29,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,68839,90000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
48,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,1. Yes,,,,,,,,,50984,76988,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
18,1. Less than HS,0. Male,2. Black Non-Hispanic,3,6,0. No,0,0. No,0. No,,,,,,,,,69444,49533,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+
33,3. Some college or associat's degree,0. Male,5. Hispanic,1,3,0. No,0,1. Yes,0. No,0,0,1. Yes,0,0,0,1. Yes,0,44959,60000,27854,34796,25035,36000,2. 100%-200%,2,2,4. 300%+,2. 100%-200%,3. 200%-300%
34,3. Some college or associat's degree,0. Male,4. Other / MultiRacial,0,2,0. No,0,1. Yes,0. No,,,,,,,,,81979,98297,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
35,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,1,0,0. No,0,60966,93343,16671,28891,13713,25562,4. 300%+,2,1,4. 300%+,3. 200%-300%,3. 200%-300%
21,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,1,5,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,118835,111000,83975,78517,140776,152000,3. 200%-300%,3,4,4. 300%+,4. 300%+,4. 300%+
43,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,1,1,1. Yes,0,39610,58000,40748,60000,501,1060,3. 200%-300%,3,1,4. 300%+,4. 300%+,1. Less than 100%
60,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,,,,,133916,200000,215397,339157,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
21,2. HS graduate or GED,0. Male,5. Hispanic,1,3,1. Yes,1,0. No,0. No,,,,,,,,,24515,6874,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
81,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,1,0. No,1,1. Yes,1. Yes,,,,,,,,,17653,9600,,,,,2. 100%-200%,4,4,1. Less than 100%,4. 300%+,4. 300%+
68,1. Less than HS,0. Male,1. White Non-Hispanic,0,1,1. Yes,1,0. No,0. No,,,,,,,,,1314,50,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
36,4. Bachelor's degree or more,0. Male,5. Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,95417,120000,83851,115000,109747,160627,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
51,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,2,4,0. No,0,0. No,1. Yes,0,0,0. No,1,0,0,,1,47591,32796,55549,35865,25928,32101,2. 100%-200%,2,2,2. 100%-200%,2. 100%-200%,3. 200%-300%
56,4. Bachelor's degree or more,1. Female,5. Hispanic,0,1,0. No,0,1. Yes,1. Yes,0,0,1. Yes,1,0,0,1. Yes,0,12731,14000,29952,15000,58525,60715,2. 100%-200%,3,4,2. 100%-200%,2. 100%-200%,4. 300%+
47,2. HS graduate or GED,0. Male,1. White Non-Hispanic,0,1,1. Yes,1,1. Yes,1. Yes,0,0,1. Yes,1,1,0,0. No,1,10441,9500,21679,29000,11973,13000,1. Less than 100%,2,1,1. Less than 100%,3. 200%-300%,2. 100%-200%
76,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,1. Yes,0,0,0. No,1,0,0,0. No,1,86246,90246,81519,81519,30133,37633,4. 300%+,4,3,4. 300%+,4. 300%+,4. 300%+
55,4. Bachelor's degree or more,0. Male,5. Hispanic,3,5,0. No,0,0. No,0. No,1,0,0. No,0,,,,,162575,188018,27239,39000,,,4. 300%+,1,4,4. 300%+,4. 300%+,4. 300%+
33,1. Less than HS,0. Male,2. Black Non-Hispanic,0,2,0. No,1,0. No,0. No,,,,,,,,,23671,10925,,,,,2. 100%-200%,4,4,1. Less than 100%,4. 300%+,4. 300%+
49.19751517,1. Less than HS,1. Female,2. Black Non-Hispanic,0,1,1. Yes,1,0. No,0. No,,,,,,,,,0,0,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
69,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,3,0. No,0,0. No,0. No,1,1,0. No,0,,,,,54965,55290,0,1248,,,2. 100%-200%,1,4,4. 300%+,1. Less than 100%,4. 300%+
30.88796274,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,1,3,0. No,0,0. No,0. No,0,0,0. No,0,,,,,182338,281934,270763,476213,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
48,3. Some college or associat's degree,1. Female,5. Hispanic,0,3,0. No,0,1. Yes,1. Yes,0,0,1. Yes,0,1,1,1. Yes,1,51062,45698,132314,190157,0,0,2. 100%-200%,4,1,3. 200%-300%,4. 300%+,1. Less than 100%
31,3. Some college or associat's degree,1. Female,5. Hispanic,2,3,0. No,0,0. No,0. No,0,0,1. Yes,0,0,0,1. Yes,0,35404,20000,33503,30000,93946,75783,2. 100%-200%,2,3,2. 100%-200%,2. 100%-200%,3. 200%-300%
45,2. HS graduate or GED,1. Female,5. Hispanic,2,5,0. No,0,1. Yes,0. No,,,,,,,,,39526,31200,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+
34,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,254597,410000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
42,4. Bachelor's degree or more,1. Female,3. Asian Non-Hispanic,2,4,0. No,0,0. No,0. No,0,0,0. No,0,,,,,359622,585327,216885,351906,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
46,3. Some college or associat's degree,1. Female,5. Hispanic,1,2,1. Yes,1,1. Yes,0. No,,,,,,,,,472,627,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+
51,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,1. Yes,0,,,,,50496,72000,71098,104415,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
31,4. Bachelor's degree or more,1. Female,5. Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,89072,122236,289688,469201,19701,19925,4. 300%+,4,2,4. 300%+,4. 300%+,2. 100%-200%
50,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,61338,90000,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+
55,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,1,4,0. No,0,0. No,0. No,0,0,1. Yes,0,0,0,1. Yes,0,63618,70320,57523,51265,44574,49784,2. 100%-200%,2,3,3. 200%-300%,4. 300%+,4. 300%+
41,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,2,5,0. No,0,0. No,0. No,,,,,,,,,121495,175000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
26,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,1,4,0. No,0,1. Yes,0. No,1,1,0. No,0,0,0,1. Yes,0,67310,64000,6741,8000,59993,70224,2. 100%-200%,1,3,3. 200%-300%,1. Less than 100%,4. 300%+
22,3. Some college or associat's degree,1. Female,5. Hispanic,1,4,0. No,0,0. No,0. No,1,0,1. Yes,0,1,1,0. No,0,39722,39838,19802,24817,13430,13003,2. 100%-200%,1,1,2. 100%-200%,2. 100%-200%,1. Less than 100%
53,1. Less than HS,1. Female,5. Hispanic,0,2,0. No,0,1. Yes,1. Yes,,,,,,,,,27768,42493,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+
43,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,2,4,0. No,0,1. Yes,0. No,0,0,1. Yes,1,0,0,1. Yes,0,69656,82200,122169,121400,65976,62800,3. 200%-300%,4,3,4. 300%+,4. 300%+,3. 200%-300%
76,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,1,0,0. No,0,182663,249743,209745,275382,1600,21600,4. 300%+,4,1,4. 300%+,4. 300%+,2. 100%-200%
43,3. Some college or associat's degree,1. Female,5. Hispanic,0,1,0. No,1,1. Yes,1. Yes,0,0,1. Yes,1,0,0,1. Yes,1,18318,8052,30692,30730,54765,52422,2. 100%-200%,3,2,1. Less than 100%,2. 100%-200%,2. 100%-200%
59,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,1,0. No,0,1. Yes,0. No,0,0,1. Yes,0,0,0,0. No,0,39322,41359,14739,25781,35986,29588,3. 200%-300%,2,3,4. 300%+,3. 200%-300%,3. 200%-300%
50,1. Less than HS,0. Male,4. Other / MultiRacial,0,1,1. Yes,1,1. Yes,1. Yes,0,1,1. Yes,1,0,1,0. No,1,13160,9600,22183,7992,30632,9600,1. Less than 100%,2,3,1. Less than 100%,1. Less than 100%,1. Less than 100%
44.53627486,2. HS graduate or GED,0. Male,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,24350,31909,43618,39805,25142,35000,3. 200%-300%,4,2,3. 200%-300%,4. 300%+,3. 200%-300%
32,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,1,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,423891,600000,397571,600000,234786,383373,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
37,2. HS graduate or GED,1. Female,5. Hispanic,1,3,0. No,0,0. No,1. Yes,,,,,,,,,57586,53382,,,,,3. 200%-300%,4,4,3. 200%-300%,4. 300%+,4. 300%+
34,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,1. Yes,1. Yes,,,,,,,,,31412,52060,,,,,2. 100%-200%,4,4,4. 300%+,4. 300%+,4. 300%+
50,2. HS graduate or GED,1. Female,1. White Non-Hispanic,1,7,0. No,0,0. No,0. No,0,0,1. Yes,0,0,0,0. No,0,202925,240000,76071,95000,89371,94138,4. 300%+,2,2,4. 300%+,3. 200%-300%,3. 200%-300%
36,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,2,4,0. No,0,1. Yes,0. No,0,0,1. Yes,0,0,0,0. No,0,35893,40500,94622,87640,61846,60032,2. 100%-200%,4,2,2. 100%-200%,4. 300%+,3. 200%-300%
47,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,2,4,0. No,0,1. Yes,0. No,0,0,1. Yes,0,0,0,1. Yes,0,131623,150000,90712,81484,130001,161653,4. 300%+,3,4,4. 300%+,4. 300%+,4. 300%+
48,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,55928,80000,67215,95986,54577,85000,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
55,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,0,0,1. Yes,1,0,0,1. Yes,1,25705,14952,29064,13764,23100,12588,2. 100%-200%,2,2,2. 100%-200%,2. 100%-200%,2. 100%-200%
49,1. Less than HS,1. Female,5. Hispanic,2,5,1. Yes,1,0. No,0. No,0,0,1. Yes,0,1,1,1. Yes,0,36726,25857,63567,55200,34645,22648,1. Less than 100%,2,1,1. Less than 100%,2. 100%-200%,1. Less than 100%
44,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,1,3,0. No,0,0. No,0. No,,,,,,,,,327339,335000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+
59,3. Some college or associat's degree,0. Male,1. White Non-Hispanic,0,1,0. No,0,1. Yes,1. Yes,1,1,1. Yes,1,1,1,1. Yes,1,31093,20560,10011,10872,10215,11076,3. 200%-300%,1,1,2. 100%-200%,1. Less than 100%,1. Less than 100%
65,2. HS graduate or GED,0. Male,5. Hispanic,0,2,0. No,0,1. Yes,1. Yes,0,0,1. Yes,1,1,0,,1,36705,32360,33899,21158,13758,13999,2. 100%-200%,2,1,3. 200%-300%,2. 100%-200%,2. 100%-200%
51,3. Some college or associat's degree,1. Female,1. White Non-Hispanic,1,3,1. Yes,0,0. No,0. No,,,,,0,0,,0,24202,24000,,,71180,76224,1. Less than 100%,4,3,2. 100%-200%,4. 300%+,4. 300%+
